iter	RMSE
0	14.82257015
1	14.46070487
2	14.0832535
3	13.73489377
4	13.37028771
5	13.0624361
6	12.75526534
7	12.48631396
8	12.1735564
9	11.87175727
10	11.57782349
11	11.33593004
12	11.11941014
13	10.87323163
14	10.63194486
15	10.39687818
16	10.16985436
17	9.962407662
18	9.751365073
19	9.551640413
20	9.378819955
21	9.20225973
22	9.019534302
23	8.856515278
24	8.709990645
25	8.573452548
26	8.424424402
27	8.282452905
28	8.163074828
29	8.042261538
30	7.917620451
31	7.811058167
32	7.702905144
33	7.588448289
34	7.483893797
35	7.390232126
36	7.298881987
37	7.218368907
38	7.128016208
39	7.041186653
40	6.966710309
41	6.892451513
42	6.814096541
43	6.754816575
44	6.688185519
45	6.628906095
46	6.566008972
47	6.507201288
48	6.449633757
49	6.393950148
50	6.345517431
51	6.296532302
52	6.249991247
53	6.206006576
54	6.166062659
55	6.122237739
56	6.084215025
57	6.048875301
58	6.007561
59	5.975521031
60	5.942376628
61	5.908228265
62	5.874150774
63	5.835949408
64	5.806083458
65	5.779526732
66	5.750561398
67	5.722913105
68	5.704007413
69	5.678255332
70	5.652712725
71	5.629985328
72	5.61111325
73	5.589227561
74	5.5680724
75	5.551073224
76	5.532690284
77	5.511040486
78	5.494620674
79	5.474436789
80	5.463497374
81	5.446505577
82	5.43345886
83	5.414930176
84	5.401617028
85	5.387749003
86	5.375811344
87	5.363087139
88	5.351541245
89	5.337413296
90	5.320255487
91	5.306219673
92	5.295417833
93	5.285420218
94	5.274932424
95	5.267859917
96	5.257192025
97	5.244387989
98	5.237235152
99	5.225870002
100	5.216887292
101	5.210624607
102	5.202813277
103	5.19316382
104	5.185029098
105	5.176548883
106	5.169024646
107	5.162145349
108	5.156850871
109	5.149455556
110	5.142204329
111	5.137136805
112	5.127035173
113	5.119262277
114	5.115736422
115	5.107723016
116	5.101978294
117	5.091766344
118	5.084366412
119	5.076830195
120	5.069173689
121	5.062607567
122	5.05543113
123	5.049369525
124	5.041085786
125	5.034442606
126	5.029600144
127	5.02490204
128	5.019190389
129	5.015253595
130	5.012481024
131	5.006255201
132	5.001867638
133	4.994109199
134	4.989335564
135	4.987108083
136	4.983901494
137	4.979366849
138	4.975637809
139	4.973158634
140	4.967380491
141	4.960746947
142	4.959776144
143	4.952369567
144	4.946129551
145	4.942661532
146	4.936177472
147	4.930240459
148	4.925260973
149	4.924145356
150	4.92030015
151	4.916746636
152	4.910791579
153	4.907355438
154	4.903234446
155	4.899655789
156	4.890694425
157	4.883691178
158	4.881536148
159	4.880303739
160	4.872962979
161	4.867757541
162	4.865514092
163	4.861483981
164	4.85697213
165	4.85382487
166	4.84811026
167	4.843311226
168	4.839933311
169	4.837146868
170	4.830377728
171	4.824989695
172	4.818860885
173	4.813834544
174	4.810205914
175	4.80179826
176	4.797803182
177	4.793210255
178	4.788923443
179	4.783007055
180	4.779973139
181	4.777132637
182	4.772012428
183	4.76915089
184	4.765335997
185	4.760865432
186	4.757261871
187	4.754462058
188	4.751416897
189	4.74785502
190	4.743962432
191	4.741534045
192	4.738176786
193	4.734623817
194	4.730285469
195	4.727097576
196	4.722578707
197	4.719755581
198	4.716315725
199	4.712630655
200	4.709380095
201	4.706872855
202	4.702255036
203	4.697322881
204	4.694479216
205	4.690452281
206	4.685485762
207	4.683692176
208	4.680837926
209	4.676032729
210	4.67253911
211	4.667946458
212	4.666512978
213	4.66088874
214	4.655961219
215	4.652698502
216	4.647224868
217	4.641907175
218	4.636534841
219	4.634631581
220	4.631808887
221	4.627925353
222	4.623805793
223	4.622086317
224	4.615379745
225	4.611118123
226	4.608591777
227	4.605411687
228	4.600515603
229	4.597878961
230	4.590919794
231	4.587989694
232	4.584376873
233	4.582727096
234	4.581323198
235	4.578021191
236	4.575458658
237	4.569735412
238	4.56665856
239	4.56494553
240	4.56084896
241	4.557520861
242	4.553356258
243	4.548812976
244	4.546306841
245	4.543153155
246	4.537782226
247	4.536035559
248	4.53354006
249	4.532838262
250	4.529205715
251	4.525668628
252	4.524081217
253	4.522829458
254	4.521392185
255	4.517579771
256	4.513321677
257	4.511117293
258	4.507171783
259	4.506526611
260	4.505306728
261	4.50222346
262	4.497338796
263	4.495772509
264	4.492187614
265	4.486153532
266	4.481833017
267	4.481177305
268	4.478813359
269	4.47743371
270	4.476001525
271	4.471966333
272	4.469800961
273	4.468469562
274	4.464103725
275	4.461944957
276	4.460777825
277	4.45633192
278	4.452732669
279	4.449390035
280	4.446032936
281	4.439966048
282	4.436083776
283	4.434526582
284	4.432971931
285	4.429455808
286	4.42436493
287	4.420668173
288	4.418450061
289	4.415790801
290	4.410545906
291	4.405680929
292	4.402895281
293	4.397612952
294	4.39383632
295	4.391878614
296	4.385841633
297	4.380878882
298	4.38044514
299	4.376971078
300	4.375687999
301	4.373134123
302	4.369710088
303	4.368890473
304	4.363232571
305	4.359297989
306	4.358171343
307	4.35451105
308	4.352765203
309	4.351189376
310	4.346813869
311	4.34390887
312	4.3400766
313	4.33910085
314	4.335017187
315	4.33074149
316	4.329616176
317	4.326193169
318	4.319429595
319	4.318293178
320	4.315630221
321	4.309966524
322	4.306823834
323	4.301790715
324	4.299768472
325	4.298069468
326	4.296908766
327	4.296268175
328	4.295305871
329	4.291820279
330	4.29017626
331	4.28980552
332	4.286363387
333	4.282386983
334	4.276488213
335	4.275501997
336	4.271681122
337	4.265928388
338	4.263217708
339	4.260564009
340	4.256949045
341	4.255346381
342	4.251392896
343	4.250195534
344	4.248132741
345	4.243915606
346	4.238677138
347	4.235287453
348	4.233337962
349	4.232741514
350	4.229486506
351	4.225393845
352	4.222272934
353	4.219088946
354	4.214308299
355	4.211870307
356	4.208440018
357	4.204738859
358	4.202698755
359	4.201104334
360	4.199839686
361	4.19855374
362	4.197466871
363	4.193704216
364	4.192929371
365	4.189541521
366	4.184930112
367	4.184608374
368	4.1836704
369	4.180519324
370	4.178233947
371	4.175791141
372	4.172792709
373	4.167511519
374	4.165146689
375	4.160239089
376	4.159006657
377	4.157462744
378	4.154140194
379	4.151280097
380	4.150869963
381	4.148746885
382	4.147696672
383	4.144832099
384	4.140145098
385	4.138047241
386	4.137252906
387	4.131978675
388	4.129885877
389	4.129400898
390	4.124040192
391	4.121562658
392	4.120224742
393	4.117524705
394	4.115245504
395	4.113466796
396	4.110265013
397	4.107099844
398	4.104680732
399	4.102349357
400	4.097409957
401	4.094142546
402	4.094002912
403	4.090716238
404	4.087957488
405	4.082747858
406	4.077908438
407	4.075335484
408	4.070498954
409	4.069248402
410	4.06631603
411	4.065051681
412	4.061941405
413	4.060542483
414	4.058642899
415	4.058026321
416	4.055761676
417	4.052577138
418	4.051912877
419	4.049018496
420	4.047695104
421	4.044867447
422	4.042097059
423	4.039943404
424	4.037506406
425	4.03287622
426	4.027096138
427	4.024901471
428	4.021934734
429	4.017197009
430	4.014523633
431	4.012499807
432	4.011397549
433	4.008621049
434	4.007354109
435	4.004795142
436	4.000788482
437	3.999981616
438	3.997814776
439	3.994587527
440	3.992927465
441	3.990359818
442	3.989100503
443	3.98685997
444	3.983067345
445	3.982112551
446	3.981200263
447	3.97674387
448	3.975551867
449	3.971588145
450	3.967494455
451	3.962930511
452	3.962054313
453	3.959643845
454	3.958470184
455	3.955637175
456	3.952260431
457	3.950460588
458	3.946229064
459	3.945085454
460	3.94086169
461	3.936695153
462	3.935389
463	3.932973377
464	3.930107444
465	3.928999984
466	3.925993012
467	3.923140165
468	3.922955382
469	3.919414601
470	3.919103142
471	3.915301534
472	3.914394619
473	3.912369708
474	3.910122005
475	3.907471795
476	3.90717309
477	3.906221052
478	3.904691253
479	3.904102999
480	3.903498126
481	3.901543043
482	3.90143027
483	3.896396908
484	3.894952721
485	3.894284896
486	3.892193237
487	3.890283233
488	3.888578251
489	3.888435772
490	3.883806763
491	3.879897079
492	3.878409869
493	3.877130419
494	3.87602796
495	3.871001871
496	3.869874388
497	3.867898328
498	3.865656851
499	3.861654889
500	3.861083447
501	3.860391836
502	3.855654269
503	3.853001042
504	3.85028481
505	3.847024814
506	3.846166686
507	3.84587999
508	3.844496782
509	3.838927045
510	3.835715514
511	3.834893176
512	3.833035171
513	3.830328606
514	3.828946077
515	3.827371859
516	3.82668503
517	3.823775345
518	3.820231527
519	3.81679406
520	3.815539988
521	3.812965355
522	3.811620869
523	3.809261414
524	3.805573184
525	3.801676956
526	3.800073933
527	3.798521337
