iter	Passed	Remaining
0	132	132053
1	133	66681
2	134	44829
3	136	33908
4	137	27334
5	138	22957
6	139	19808
7	141	17495
8	142	15674
9	143	14213
10	145	13043
11	146	12068
12	148	11248
13	149	10523
14	150	9911
15	152	9402
16	154	8920
17	155	8504
18	157	8124
19	159	7798
20	160	7479
21	161	7199
22	163	6932
23	164	6691
24	166	6474
25	167	6272
26	168	6078
27	169	5900
28	171	5736
29	172	5581
30	174	5450
31	175	5318
32	176	5186
33	178	5062
34	179	4945
35	180	4832
36	181	4724
37	182	4624
38	183	4530
39	184	4438
40	186	4354
41	187	4272
42	188	4196
43	189	4122
44	190	4050
45	191	3981
46	193	3916
47	194	3854
48	195	3796
49	196	3737
50	197	3681
51	199	3635
52	201	3594
53	202	3552
54	204	3507
55	205	3460
56	206	3415
57	207	3370
58	208	3326
59	209	3282
60	210	3241
61	211	3201
62	212	3160
63	213	3125
64	214	3090
65	215	3054
66	216	3020
67	217	2987
68	218	2954
69	220	2922
70	221	2893
71	222	2864
72	223	2837
73	224	2809
74	225	2783
75	227	2767
76	229	2746
77	230	2726
78	232	2704
79	233	2683
80	234	2656
81	235	2634
82	236	2612
83	237	2591
84	238	2570
85	240	2551
86	241	2534
87	243	2520
88	244	2499
89	245	2480
90	246	2461
91	247	2442
92	248	2423
93	249	2405
94	250	2388
95	252	2374
96	253	2358
97	254	2343
98	256	2330
99	257	2317
100	258	2304
101	259	2288
102	261	2274
103	262	2260
104	263	2247
105	264	2233
106	265	2219
107	267	2210
108	269	2199
109	270	2188
110	271	2177
111	272	2163
112	273	2150
113	275	2137
114	275	2123
115	276	2110
116	278	2098
117	279	2086
118	280	2074
119	281	2063
120	282	2053
121	283	2041
122	284	2030
123	285	2020
124	287	2009
125	288	1998
126	289	1988
127	290	1977
128	291	1966
129	292	1955
130	293	1945
131	294	1936
132	295	1928
133	297	1919
134	298	1912
135	299	1902
136	300	1894
137	301	1886
138	303	1877
139	304	1867
140	305	1860
141	306	1851
142	306	1839
143	308	1831
144	309	1824
145	310	1815
146	311	1807
147	312	1799
148	313	1791
149	314	1781
150	315	1773
151	316	1765
152	317	1758
153	318	1749
154	319	1742
155	320	1734
156	322	1731
157	323	1724
158	325	1719
159	325	1710
160	327	1704
161	328	1698
162	329	1691
163	330	1685
164	331	1678
165	332	1671
166	333	1664
167	334	1657
168	335	1650
169	336	1644
170	337	1637
171	338	1630
172	339	1624
173	340	1617
174	341	1611
175	342	1605
176	343	1599
177	345	1593
178	345	1586
179	346	1580
180	347	1573
181	348	1568
182	350	1562
183	350	1556
184	351	1550
185	352	1543
186	353	1537
187	354	1531
188	355	1525
189	356	1519
190	357	1512
191	358	1506
192	358	1500
193	359	1494
194	360	1488
195	361	1482
196	362	1476
197	363	1471
198	364	1465
199	364	1459
200	365	1453
201	366	1448
202	367	1442
203	368	1436
204	369	1431
205	370	1426
206	370	1420
207	371	1415
208	372	1410
209	373	1404
210	374	1399
211	375	1394
212	375	1388
213	376	1383
214	377	1379
215	378	1374
216	379	1369
217	380	1364
218	381	1359
219	382	1354
220	382	1349
221	383	1344
222	384	1340
223	385	1335
224	386	1330
225	387	1326
226	388	1321
227	388	1316
228	389	1312
229	390	1307
230	391	1303
231	392	1298
232	393	1294
233	394	1290
234	395	1286
235	395	1281
236	396	1277
237	397	1273
238	398	1268
239	399	1264
240	400	1260
241	401	1256
242	401	1252
243	402	1248
244	403	1244
245	404	1240
246	405	1236
247	406	1232
248	407	1228
249	408	1224
250	408	1220
251	409	1216
252	410	1212
253	411	1208
254	412	1204
255	413	1200
256	414	1197
257	414	1193
258	415	1189
259	416	1185
260	417	1182
261	418	1178
262	419	1174
263	420	1171
264	421	1168
265	422	1164
266	422	1161
267	423	1157
268	424	1154
269	425	1150
270	426	1146
271	427	1143
272	428	1139
273	428	1136
274	429	1132
275	430	1129
276	431	1126
277	432	1122
278	433	1119
279	433	1115
280	434	1112
281	435	1109
282	436	1106
283	437	1102
284	438	1099
285	439	1096
286	440	1093
287	440	1090
288	441	1087
289	442	1083
290	443	1080
291	444	1077
292	445	1074
293	446	1071
294	447	1068
295	447	1065
296	448	1062
297	449	1059
298	450	1056
299	451	1053
300	452	1050
301	453	1047
302	454	1044
303	454	1041
304	455	1038
305	456	1035
306	457	1033
307	458	1030
308	459	1027
309	460	1024
310	461	1021
311	461	1018
312	462	1015
313	463	1013
314	464	1010
315	465	1008
316	466	1005
317	467	1002
318	468	1000
319	469	998
320	470	996
321	472	993
322	473	991
323	474	989
324	475	986
325	476	984
326	477	982
327	478	979
328	479	977
329	480	974
330	481	972
331	481	969
332	483	967
333	484	965
334	485	963
335	486	961
336	487	959
337	488	957
338	489	955
339	491	953
340	492	951
341	493	949
342	494	947
343	495	945
344	496	943
345	497	940
346	498	938
347	499	936
348	501	934
349	502	932
350	503	930
351	504	928
