iter	Passed	Remaining
0	142	142139
1	144	72044
2	145	48489
3	147	36606
4	148	29502
5	149	24730
6	150	21315
7	151	18757
8	152	16768
9	153	15170
10	154	13862
11	155	12782
12	157	11943
13	158	11154
14	159	10468
15	160	9861
16	161	9336
17	162	8859
18	163	8445
19	164	8061
20	165	7716
21	166	7410
22	167	7124
23	168	6868
24	170	6648
25	171	6432
26	172	6224
27	173	6028
28	174	5846
29	175	5681
30	176	5524
31	177	5375
32	178	5234
33	179	5103
34	180	4978
35	181	4860
36	182	4749
37	184	4665
38	185	4574
39	186	4481
40	187	4393
41	189	4319
42	190	4243
43	191	4167
44	192	4095
45	194	4025
46	195	3957
47	196	3897
48	198	3854
49	199	3797
50	201	3741
51	202	3687
52	203	3640
53	204	3589
54	205	3536
55	206	3486
56	207	3437
57	208	3389
58	209	3345
59	210	3305
60	212	3264
61	213	3225
62	214	3190
63	216	3161
64	217	3124
65	218	3088
66	219	3052
67	220	3018
68	221	2985
69	222	2953
70	223	2922
71	224	2893
72	226	2870
73	227	2843
74	228	2814
75	229	2786
76	230	2763
77	231	2737
78	232	2710
79	233	2686
80	234	2662
81	235	2637
82	236	2609
83	237	2588
84	238	2565
85	239	2547
86	240	2528
87	242	2508
88	243	2488
89	244	2468
90	245	2449
91	246	2431
92	247	2413
93	248	2394
94	249	2377
95	250	2360
96	251	2343
97	252	2328
98	254	2320
99	256	2304
100	257	2289
101	258	2273
102	259	2258
103	260	2244
104	261	2229
105	262	2215
106	263	2200
107	264	2186
108	265	2172
109	266	2158
110	268	2148
111	270	2143
112	271	2131
113	272	2118
114	273	2106
115	274	2094
116	275	2081
117	276	2070
118	278	2058
119	279	2046
120	280	2034
121	280	2022
122	282	2013
123	283	2004
124	285	1996
125	286	1986
126	287	1976
127	288	1966
128	290	1959
129	291	1951
130	292	1942
131	294	1934
132	295	1924
133	296	1916
134	297	1908
135	299	1901
136	300	1892
137	301	1884
138	302	1876
139	304	1868
140	305	1859
141	306	1848
142	307	1840
143	308	1832
144	309	1823
145	310	1815
146	311	1809
147	313	1805
148	314	1797
149	315	1789
150	316	1781
151	317	1773
152	319	1768
153	320	1760
154	321	1752
155	322	1745
156	323	1737
157	324	1730
158	326	1724
159	327	1719
160	328	1711
161	329	1704
162	330	1697
163	331	1691
164	332	1684
165	334	1678
166	335	1671
167	336	1665
168	337	1658
169	338	1652
170	339	1645
171	340	1641
172	342	1636
173	343	1630
174	344	1623
175	345	1617
176	346	1611
177	347	1606
178	348	1600
179	349	1594
180	350	1588
181	352	1582
182	353	1576
183	354	1571
184	355	1566
185	356	1562
186	358	1556
187	359	1551
188	360	1546
189	362	1545
190	363	1540
191	365	1536
192	366	1533
193	368	1530
194	370	1529
195	372	1527
196	374	1524
197	375	1520
198	376	1517
199	378	1513
200	379	1509
201	381	1505
202	382	1502
203	384	1501
204	387	1503
205	389	1499
206	390	1496
207	392	1492
208	393	1488
209	394	1485
210	396	1481
211	397	1477
212	399	1474
213	400	1472
214	402	1469
215	403	1465
216	405	1463
217	406	1459
218	408	1456
219	409	1452
220	411	1449
221	412	1445
222	414	1444
223	416	1441
224	417	1438
225	418	1434
226	420	1431
227	421	1428
228	423	1424
229	424	1421
230	425	1417
231	427	1414
232	429	1412
233	430	1410
234	432	1406
235	433	1403
236	435	1402
237	436	1398
238	438	1395
239	439	1392
240	441	1390
241	443	1387
242	445	1386
243	446	1383
244	447	1380
245	449	1377
246	450	1374
247	452	1371
248	453	1367
249	455	1365
250	456	1361
251	457	1359
252	459	1357
253	461	1355
254	462	1352
255	464	1350
256	466	1347
257	467	1344
258	468	1341
259	470	1338
260	471	1335
261	473	1333
262	475	1331
263	476	1328
264	477	1325
265	479	1323
266	481	1320
267	482	1317
268	483	1314
269	485	1311
270	487	1310
271	488	1308
272	490	1305
273	492	1303
274	493	1301
275	495	1298
276	496	1296
277	498	1293
278	499	1290
279	500	1288
280	503	1287
281	504	1285
282	506	1282
283	507	1280
284	509	1278
285	511	1276
286	513	1275
287	515	1273
288	517	1272
289	518	1270
290	520	1267
291	521	1265
292	523	1263
293	525	1261
294	526	1258
295	528	1256
296	530	1255
297	532	1254
298	533	1251
299	535	1248
300	536	1246
301	538	1243
302	539	1241
303	540	1238
304	542	1235
305	543	1232
306	545	1231
307	547	1229
308	548	1226
309	550	1224
310	551	1221
311	552	1219
312	554	1216
313	555	1213
314	556	1211
315	558	1208
316	559	1206
317	561	1204
318	563	1202
319	564	1199
320	566	1197
321	567	1194
322	568	1192
323	570	1189
324	571	1187
325	573	1185
326	575	1183
327	576	1181
328	578	1179
329	579	1177
330	581	1175
331	583	1173
332	584	1170
333	585	1168
334	587	1166
335	590	1166
336	591	1164
337	593	1161
338	595	1160
339	596	1158
340	598	1155
341	599	1153
342	600	1150
343	602	1148
344	604	1146
345	605	1144
346	607	1142
347	609	1141
348	610	1138
349	612	1137
350	614	1135
351	615	1133
352	617	1131
353	618	1129
354	620	1127
355	621	1124
356	623	1122
357	624	1120
358	626	1117
359	627	1115
360	628	1113
361	630	1110
362	632	1109
363	634	1109
364	636	1106
365	637	1104
366	639	1102
367	640	1100
368	642	1098
369	643	1095
370	645	1094
371	647	1092
372	648	1089
373	649	1086
374	650	1083
375	651	1081
376	652	1078
377	653	1075
378	654	1072
379	655	1070
380	656	1067
381	657	1064
382	659	1061
383	660	1059
384	662	1057
385	663	1054
386	664	1052
387	665	1049
388	666	1046
389	667	1044
390	668	1041
391	669	1038
392	670	1036
393	671	1033
394	672	1030
395	673	1027
396	675	1026
397	676	1023
398	678	1021
399	679	1019
400	680	1016
401	681	1014
402	683	1011
403	684	1009
404	685	1007
405	686	1005
406	688	1002
407	689	1000
408	691	998
409	692	996
410	693	993
411	694	991
412	695	988
413	696	986
414	697	983
415	698	981
416	699	978
417	701	976
418	702	973
419	703	971
420	704	969
421	706	967
422	707	964
423	708	962
424	709	959
425	710	957
426	711	954
427	712	952
428	713	949
429	714	947
430	716	945
431	717	943
432	718	941
433	720	939
434	721	936
435	722	934
436	723	931
437	724	929
438	725	927
439	726	924
440	727	922
441	728	919
442	729	917
443	730	915
444	732	913
445	733	911
446	734	909
447	735	906
448	736	904
449	738	902
450	739	899
451	740	897
452	741	895
453	742	892
454	743	891
455	745	888
456	746	886
457	747	884
458	749	883
459	750	880
460	751	878
461	752	876
462	753	874
463	754	871
464	755	869
465	757	867
466	758	865
467	759	862
468	760	860
469	761	858
470	762	856
471	764	855
472	765	852
473	767	851
474	768	849
475	769	847
476	770	845
477	772	843
478	773	841
479	774	839
480	776	837
481	784	843
482	786	841
483	787	839
484	788	837
485	789	835
486	790	832
487	792	831
488	793	829
489	794	827
490	795	824
491	796	822
492	797	820
493	799	818
494	800	816
495	801	814
496	802	811
497	803	809
498	804	807
499	805	805
500	806	803
501	807	801
502	809	799
503	810	797
504	811	795
505	812	793
506	813	791
507	815	789
508	816	787
509	817	785
510	818	783
511	819	781
512	821	780
513	822	778
514	824	776
515	825	774
516	826	771
517	827	769
518	828	767
519	829	765
520	830	763
521	831	761
522	832	759
523	833	757
524	835	755
525	836	754
526	837	752
527	839	750
528	840	748
529	841	746
530	842	744
531	843	741
532	844	739
533	845	737
534	846	735
535	847	733
536	848	731
537	850	730
538	851	728
539	852	726
540	853	724
541	855	722
542	856	720
543	857	718
544	858	716
545	859	714
546	860	712
547	861	710
548	862	708
549	863	706
550	864	704
551	866	702
552	867	701
553	868	699
554	869	697
555	871	695
556	872	693
557	873	691
558	874	689
559	875	687
560	876	685
561	877	683
562	879	682
563	881	681
564	882	679
565	883	677
566	884	675
567	886	673
568	887	672
569	888	670
570	889	668
571	891	666
572	892	664
573	894	663
574	895	661
575	896	660
576	897	658
577	899	656
578	900	654
579	901	653
580	903	651
581	904	649
582	906	648
583	908	646
584	910	645
585	911	644
586	912	642
587	914	640
588	915	638
589	916	636
590	917	634
591	918	633
592	919	631
593	921	629
594	922	627
595	924	626
596	925	624
597	926	622
598	927	620
599	928	619
600	929	617
601	930	615
602	931	613
603	933	611
604	934	609
605	935	608
606	936	606
607	937	604
608	938	602
609	940	601
610	941	599
611	942	597
612	943	595
613	944	593
614	946	592
615	947	590
616	948	588
617	949	586
618	950	584
619	951	583
620	952	581
621	954	579
622	955	578
623	956	576
624	958	574
625	959	573
626	960	571
627	961	569
628	962	567
629	963	565
630	964	564
631	965	562
632	967	560
633	968	559
634	969	557
635	970	555
636	971	553
637	972	551
638	973	550
639	974	548
640	975	546
641	976	544
642	977	542
643	979	541
644	980	539
645	981	537
646	982	536
647	984	534
648	985	532
649	986	531
650	987	529
651	988	527
652	989	525
653	990	524
654	991	522
655	992	520
656	993	518
657	995	517
658	996	515
659	997	513
660	999	512
661	1000	510
662	1002	509
663	1004	508
664	1005	506
665	1007	505
666	1009	503
667	1011	502
668	1013	501
669	1014	499
670	1016	498
671	1018	496
672	1019	495
673	1020	493
674	1022	492
675	1024	490
676	1026	489
677	1027	488
678	1029	486
679	1031	485
680	1033	483
681	1034	482
682	1036	480
683	1037	479
684	1039	477
685	1041	476
686	1043	475
687	1045	474
688	1046	472
689	1048	470
690	1049	469
691	1051	467
692	1052	466
693	1054	464
694	1055	463
695	1057	461
696	1059	460
697	1061	459
698	1062	457
699	1064	456
700	1066	454
701	1068	453
702	1069	451
703	1072	450
704	1073	449
705	1075	447
706	1076	446
707	1078	444
708	1079	443
709	1081	441
710	1082	440
711	1085	438
712	1086	437
713	1087	435
714	1089	434
715	1091	432
716	1092	431
717	1094	429
718	1095	428
719	1097	426
720	1099	425
721	1101	423
722	1102	422
723	1104	421
724	1105	419
725	1107	417
726	1108	416
727	1110	414
728	1111	413
729	1113	411
730	1114	410
731	1116	408
732	1117	407
733	1119	405
734	1120	404
735	1121	402
736	1123	400
737	1124	399
738	1126	397
739	1128	396
740	1129	394
741	1131	393
742	1132	391
743	1133	390
744	1135	388
745	1136	387
746	1138	385
747	1139	383
748	1141	382
749	1143	381
750	1144	379
751	1146	377
752	1147	376
753	1149	374
754	1150	373
755	1152	371
756	1153	370
757	1154	368
758	1157	367
759	1159	366
760	1161	364
761	1162	363
762	1164	361
763	1165	360
764	1167	358
765	1168	356
766	1170	355
767	1172	354
768	1173	352
769	1175	351
770	1176	349
771	1178	348
772	1179	346
773	1181	344
774	1182	343
775	1184	341
776	1186	340
777	1188	339
778	1189	337
779	1191	336
780	1192	334
781	1194	332
782	1195	331
783	1196	329
784	1198	328
785	1200	326
786	1202	325
787	1203	323
788	1205	322
789	1206	320
790	1207	319
791	1209	317
792	1210	316
793	1211	314
794	1213	312
795	1215	311
796	1217	310
797	1218	308
798	1220	306
799	1221	305
800	1223	303
801	1224	302
802	1226	300
803	1227	299
804	1229	297
805	1231	296
806	1232	294
807	1233	293
808	1235	291
809	1236	290
810	1238	288
811	1239	286
812	1240	285
813	1242	283
814	1243	282
815	1245	280
816	1247	279
817	1248	277
818	1250	276
819	1251	274
820	1253	273
821	1254	271
822	1256	270
823	1258	268
824	1259	267
825	1261	265
826	1263	264
827	1264	262
828	1266	261
829	1267	259
830	1269	258
831	1271	256
832	1272	255
833	1274	253
834	1276	252
835	1277	250
836	1278	249
837	1280	247
838	1281	245
839	1283	244
840	1284	242
841	1286	241
842	1287	239
843	1289	238
844	1290	236
845	1292	235
846	1293	233
847	1294	232
848	1296	230
849	1297	229
850	1299	227
851	1300	225
852	1302	224
853	1304	223
854	1306	221
855	1307	219
856	1309	218
857	1310	216
858	1312	215
859	1313	213
860	1315	212
861	1316	210
862	1318	209
863	1320	207
864	1321	206
865	1323	204
866	1325	203
867	1326	201
868	1327	200
869	1329	198
870	1330	197
871	1332	195
872	1333	194
873	1335	192
874	1337	191
875	1339	189
876	1340	187
877	1341	186
878	1343	184
879	1344	183
880	1346	181
881	1348	180
882	1349	178
883	1351	177
884	1352	175
885	1353	174
886	1355	172
887	1356	171
888	1358	169
889	1360	168
890	1362	166
891	1363	165
892	1365	163
893	1366	162
894	1367	160
895	1369	158
896	1371	157
897	1372	155
898	1373	154
899	1375	152
